id	cipher	literal	grade	basis
s2t011	5	q	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t012	10	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t013	A	i	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t014	hi	di	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t015	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t016	S	t	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t017	M	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t018	X	a	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t019	N	c	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t020	xir	ti	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t021	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t022	SS	i	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t023	C	l	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t024	pon	lo	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t025	tun	ru	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t026	T	n	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t027	43	in	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t028	hi	di	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t029	10	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t030	9	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t031	M	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t032	tas	sa	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t033	Zx	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t034	46	pa	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t035	16	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t036	xer	te	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t037	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t038	X	a	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t039	id	ni	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t040	ib	mi	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t041	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t042	O_bar	?	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t043	X	a	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t044	fir	ci	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t044a	p?	?	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t045	uc	us	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t046	ib	mi	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t047	G	h	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t048	A	i	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t049	X	a	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t050	K	d	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t051	12	pe	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t052	16	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t053	X	a	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t054	les	ge	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t055	T	n	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t056	hu	du	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t057	F	m	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t058	G	h	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t059	10	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t060	^xN		M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t061	T	n	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t062	N	c	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t063	A	i	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t064	15	p	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t065	tos	so	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t066	tun	ru	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t067	F91	m	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t068	3	q	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t069	Z	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t070	9	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t071	4	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t072	ib	mi	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t073	adb	?	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t074	p	n	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t075	xir	ti	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t076	M	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t077	A	i	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t078	4	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t079	4	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t080	xir	ti	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t081	4	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t082	ten	re	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t083	H91	?	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t084	X	a	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t085	S	t	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t086	O_bar_e	?	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t087	ed	ne	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t088	los	go	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t089	fir	ci	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t090	Z	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t091	F	m	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t092	X	a	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t093	M	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t094	ob	mo	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t095	fun	ru	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t096	F	m	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t097	fus	qu	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t098	y	o	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t099	fun	ru	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t100	F	m	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t101	ob	mo	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t102	xir	ti	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t103	9	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t104	S	t	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t105	hi	di	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t106	10	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t107	9	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t108	M	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t109	tis	si	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t110	y	o	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t111	ed	ne	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t112	for	co	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t113	^9/4	m	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t114	A	i	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t115	ed	ne	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t116	3	q	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t117	10	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t118	y	o	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t119	K	d	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t120	Z	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t121	xer	te	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t122	16	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t123	cal	que	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t124	DB	p	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t125	M	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t126	9	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t127	xer	te	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t128	T	n	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t129	hi	di	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t130	ub	mu	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t131	Zx	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t132	DB	p	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t133	M	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t134	Pb	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t135	hi	di	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t136	N	c	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t137	xer	te	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t138	X	a	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t139	Z	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t140	lus	gu	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t141	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t142	xir	ti	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t143	tis	si	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t144	eb	me	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t145	od	no	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t146	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t147	S	t	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t148	M	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t149	9	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t150	ho	do	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t151	ub	mu	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t152	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t153	for	co	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t154	ub	mu	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t155	y	o	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t156	hu	du	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t157	4	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t158	od	no	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t159	D4short	?	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t160	ib	mi	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t161	od	no	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t162	16	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t163	R	q	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t164	10	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t165	^x41		M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t166	X	a	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t167	F	m	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t168	9	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t169	C	l	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t170	V	?	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t171	Q	?	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s3t000	DB	p	C	Directly matched to the following cleartext promovere haud dedignetur
s3t001	M	r	C	Directly matched to the following cleartext promovere haud dedignetur
s3t002	y	o	C	Directly matched to the following cleartext promovere haud dedignetur
s3t003	ob	mo	C	Directly matched to the following cleartext promovere haud dedignetur
s3t004	10	u	C	Directly matched to the following cleartext promovere haud dedignetur
s3t005	9	e	C	Directly matched to the following cleartext promovere haud dedignetur
s3t006	ten	re	C	Directly matched to the following cleartext promovere haud dedignetur
s3t007	G	h	C	Directly matched to the following cleartext promovere haud dedignetur
s3t008	X	a	C	Directly matched to the following cleartext promovere haud dedignetur
s3t009	Z	u	C	Directly matched to the following cleartext promovere haud dedignetur
s3t010	K	d	C	Directly matched to the following cleartext promovere haud dedignetur
s3t011	he	de	C	Directly matched to the following cleartext promovere haud dedignetur
s3t012	hi	di	C	Directly matched to the following cleartext promovere haud dedignetur
s3t013	b	g	C	Directly matched to the following cleartext promovere haud dedignetur
s3t014	ed	ne	C	Directly matched to the following cleartext promovere haud dedignetur
s3t015	xur	tu	C	Directly matched to the following cleartext promovere haud dedignetur
s3t016	16	r	C	Directly matched to the following cleartext promovere haud dedignetur
s3t017	R	q	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s3t018	V	?	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s3t019	Gs	?	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
